Symbol,Security Name,Tier,Price,Change %,Vol,Sec Type,Country,State
TDLAF,TBG DIAGNOSTICS LTD ORD,OTCQB,0.022500,129.422100,0,Foreign Ordinary Shares,Australia,Victoria
HZNFF,HORIZON OIL LTD ORD,OTCQB,0.070860,0.874200,0,Foreign Ordinary Shares,Australia,New South Wales
MMSDF,MACARTHUR MINERALS LTD,OTCQB,0.065600,14.831500,14400,Foreign Ordinary Shares,Australia,Queensland
SSNYY,SAMSON OIL & GAS S/ADR,OTCQB,0.085050,121.197800,12800,ADRs,Australia,Western Australia
PPCB,PROPANC BIOPHARMA INC,OTCQB,0.006200,79.694200,7452916,Common Stock,Australia,Victoria
FFTTF,FATFISH BLOCKCHAN LTD,OTCQB,0.010000,0.000000,0,Foreign Ordinary Shares,Australia,Victoria
NQMLF,NQ MINERALS PLC ORD,OTCQB,0.138500,0.000000,0,Foreign Ordinary Shares,Australia,
ZLDAF,ZELDA THERAPEUTICS ORD,OTCQB,0.032000,52.171600,0,Foreign Ordinary Shares,Australia,Western Australia
ANPOF,AMERICAN PAT OIL ORD,OTCQB,0.015000,0.000000,0,Foreign Ordinary Shares,Australia,New South Wales
MGCLF,MGC PHARMA LTD ORD,OTCQB,0.038200,238.956800,28000,Foreign Ordinary Shares,Australia,Western Australia
MDBIF,MEDIBIO LTD,OTCQB,0.008200,24.230000,0,Foreign Ordinary Shares,Australia,Victoria
ARTTF,ARTEMIS RESOURCES ORD,OTCQB,0.026900,120.016200,10000,Foreign Ordinary Shares,Australia,Western Australia
AMSLF,AUSTRALIAN MINES LTD,OTCQB,0.018000,56.605100,39500,Foreign Ordinary Shares,Australia,Queensland
XTGRF,XTRA-GOLD RESOURCES BVI,OTCQB,0.242100,66.292300,5960,Foreign Ordinary Shares,Bahamas,
SGMLF,SIGMA LITHIUM RES CORP,OTCQB,1.190000,0.000000,0,Foreign Ordinary Shares,Brazil,
IPATF,IMMUNOPRECISE ANTIBODIES,OTCQB,0.517400,79.074800,10000,Foreign Ordinary Shares,Canada,British Columbia
CRCUF,CANARC RESOURCE CORP,OTCQB,0.036000,17.739700,12250,Foreign Ordinary Shares,Canada,British Columbia
MMTIF,MICROMEM TECHS INC,OTCQB,0.034000,142.447400,102000,Foreign Ordinary Shares,Canada,Ontario
HHHEF,37 CAPITAL INC ORD,OTCQB,0.063600,0.000000,0,Foreign Ordinary Shares,Canada,British Columbia
YNVYF,YNVISIBLE INTERACTIVE INC,OTCQB,0.381000,76.772000,6900,Foreign Ordinary Shares,Canada,British Columbia
NSFDF,NXT ENERGY SLTNS INC ORD,OTCQB,0.290140,195.464900,2500,Foreign Ordinary Shares,Canada,Alberta
CECBF,CELLCUBE ENERGY STORAGE,OTCQB,0.083450,126.567500,214250,Foreign Ordinary Shares,Canada,British Columbia
OVTZ,OCULUS VISIONTECH INC,OTCQB,0.080000,167.640000,79295,Common Stock,Canada,British Columbia
JPOTF,JACKPOT DIGITAL INC,OTCQB,0.100000,20.273800,1000,Foreign Ordinary Shares,Canada,British Columbia
HSTRF,BLISSCO CANNABIS CORP ORD,OTCQB,0.315300,81.992800,97377,Foreign Ordinary Shares,Canada,British Columbia
SVBL,SILVER BULL RESOURCES INC,OTCQB,0.074800,57.959400,220395,Common Stock,Canada,British Columbia
CPPXF,CONTL ENERGY CORP,OTCQB,0.023000,24.414000,0,Foreign Ordinary Shares,Canada,British Columbia
FNHI,FRANCHISE HLDGS INTL,OTCQB,0.100000,115.636100,10300,Common Stock,Canada,Ontario
CNENF,CLAREN ENERGY CORP,OTCQB,0.050000,195.000000,0,Foreign Ordinary Shares,Canada,British Columbia
AGCBF,AMARILLO GOLD CORP,OTCQB,0.157800,41.092900,300,Foreign Ordinary Shares,Canada,Ontario
MLYF,WESTERN MAGNESIUM CORP,OTCQB,0.086900,170.228900,365871,Foreign Ordinary Shares,Canada,British Columbia
HOILF,HUNTER OIL CORP ORD,OTCQB,0.145900,257.204600,5836,Foreign Ordinary Shares,Canada,British Columbia
IMAHF,I-MINERALS INC ORD,OTCQB,0.045600,0.156100,0,Foreign Ordinary Shares,Canada,British Columbia
BIDCF,BLOCKCHAINK2 CORP,OTCQB,0.133900,548.860200,0,Foreign Ordinary Shares,Canada,British Columbia
NORZF,NORZINC LTD,OTCQB,0.070400,132.791400,16250,Foreign Ordinary Shares,Canada,British Columbia
TWRFF,TOWER RESOURCES LTD ORD,OTCQB,0.030700,0.000000,0,Foreign Ordinary Shares,Canada,British Columbia
DSNY,DESTINY MEDIA TECHS INC,OTCQB,0.285300,25.995000,0,Common Stock,Canada,British Columbia
IMEXF,IMAGIN MEDICAL INC,OTCQB,0.056240,42.287000,2250,Foreign Ordinary Shares,Canada,British Columbia
CYDVF,CYPRESS DEVELOPMENT CORP,OTCQB,0.163300,66.264200,40425,Foreign Ordinary Shares,Canada,British Columbia
JETMF,CANADA JETLINES LTD ORD,OTCQB,0.366200,60.234400,4963,Foreign Ordinary Shares,Canada,British Columbia
CVVUF,CANALASKA URANIUM LTD,OTCQB,0.172100,105.733400,0,Foreign Ordinary Shares,Canada,British Columbia
STKXF,STRIKEPOINT GOLD INC ORD,OTCQB,0.107590,87.302800,6400,Foreign Ordinary Shares,Canada,British Columbia
AVLNF,AVALON ADVANCED MAT ORD,OTCQB,0.049000,221.285700,155649,Foreign Ordinary Shares,Canada,Ontario
SYHBF,SKYHARBOUR RES LTD ORD,OTCQB,0.248100,92.261600,0,Foreign Ordinary Shares,Canada,British Columbia
NMTLF,NEW AGE METALS INC,OTCQB,0.046000,352.553900,113000,Foreign Ordinary Shares,Canada,British Columbia
DMIFF,DIAMCOR MINING INC ORD,OTCQB,0.107400,84.148700,20100,Foreign Ordinary Shares,Canada,British Columbia
STXMF,STARREX INTERNATIONAL LTD,OTCQB,1.050810,0.000000,0,Foreign Ordinary Shares,Canada,Ontario
ABEPF,VISION LITHIUM INC,OTCQB,0.058000,8.764900,0,Foreign Ordinary Shares,Canada,Quebec
PRZFF,PRIZE MINING CORP ORD,OTCQB,0.018000,76.871500,3000,Foreign Ordinary Shares,Canada,British Columbia
LMRMF,LOMIKO METALS INC ORD NEW,OTCQB,0.040000,28.129800,1350,Foreign Ordinary Shares,Canada,British Columbia
FTMDF,FORTUNE MINERALS LTD,OTCQB,0.075550,100.901900,0,Foreign Ordinary Shares,Canada,Ontario
DXIEF,DXI ENERGY INC ORD,OTCQB,0.026090,37.905800,11134,Foreign Ordinary Shares,Canada,British Columbia
AXREF,AMARC RESOURCE LTD,OTCQB,0.036900,67.116300,0,Foreign Ordinary Shares,Canada,British Columbia
IZCFF,INTL ZEOLITE CORP,OTCQB,0.089210,21.303900,0,Foreign Ordinary Shares,Canada,British Columbia
NSUPF,NORTHERN SUPERIOR RES INC,OTCQB,0.112000,266.930300,0,Foreign Ordinary Shares,Canada,Ontario
SSVFF,STHN SILVER EXPL CORP,OTCQB,0.101000,185.750100,113650,Foreign Ordinary Shares,Canada,British Columbia
ROIUF,ROUTE1 INC,OTCQB,0.046200,0.000000,0,Foreign Ordinary Shares,Canada,Ontario
SNAVF,STAR NAVIGATION SY GP LTD,OTCQB,0.040800,29.575900,1975,Foreign Ordinary Shares,Canada,Ontario
SEOVF,SERNOVA CORP,OTCQB,0.180600,79.678500,0,Foreign Ordinary Shares,Canada,Ontario
IOGIF,POND TECHS HLDGS INC,OTCQB,0.638700,70.572100,0,Foreign Ordinary Shares,Canada,Ontario
ACHFF,ARCH BIOPARTNERS INC ORD,OTCQB,0.910400,21.399400,0,Foreign Ordinary Shares,Canada,Ontario
STSBF,SOUTH STAR MINING CORP,OTCQB,0.101700,13.386400,0,Foreign Ordinary Shares,Canada,British Columbia
